sno	Collected_miRNA_name	Accession	Symbol	Description	Mature_Sequence	Gene_Family	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
63	hsa-miR-22	MI0000078	HGNC:MIR22	miR-22 stem-loop		MIPF0000053; mir-22	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
64	hsa-miR-138-1	MI0000476	HGNC:MIR138-1	miR-138-1 stem-loop		MIPF0000075; mir-138	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
65	hsa-miR-138-1*	MI0000476	HGNC:MIR138-1	miR-138-1 stem-loop		MIPF0000075; mir-138	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
66	hsa-miR-138-2	MI0000455	HGNC:MIR138-2	miR-138-2 stem-loop		MIPF0000075; mir-138	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
67	hsa-miR-138-2*	MI0000455	HGNC:MIR138-2	miR-138-2 stem-loop		MIPF0000075; mir-138	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
68	hsa-miR-138-2*	MI0000455	HGNC:MIR138-2	miR-138-2 stem-loop		MIPF0000075; mir-138	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
69	hsa-miR-221	MI0000298	HGNC:MIR221	miR-221 stem-loop		MIPF0000051; mir-221	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
70	hsa-miR-93	MI0000095	HGNC:MIR93	miR-93 stem-loop		MIPF0000001; mir-17	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
71	hsa-miR-143	MI0000459	HGNC:MIR143	miR-143 stem-loop		MIPF0000094; mir-143	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
72	hsa-miR-143	MI0000459	HGNC:MIR143	miR-143 stem-loop		MIPF0000094; mir-143	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
73	hsa-miR-143	MI0000459	HGNC:MIR143	miR-143 stem-loop		MIPF0000094; mir-143	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
74	hsa-miR-143	MI0000459	HGNC:MIR143	miR-143 stem-loop		MIPF0000094; mir-143	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
